City,Lat,Long,State,country
Port Blair,11.666667,92.75,Andaman and Nicobar Islands,India
Chirala,15.823849,80.352187,Andhra Pradesh,India
Guntur,16.299737,80.457293,Andhra Pradesh,India
Hindupur,13.828065,77.491425,Andhra Pradesh,India
Kagaznagar,19.331589,79.466051,Andhra Pradesh,India
Kakinada,16.960361,82.238086,Andhra Pradesh,India
Kurnool,15.828865,78.036021,Andhra Pradesh,India
Machilipatnam,16.187466,81.13888,Andhra Pradesh,India
Nandyal,15.477994,78.483605,Andhra Pradesh,India
Nellore,14.449918,79.986967,Andhra Pradesh,India
Ongole,15.503565,80.044541,Andhra Pradesh,India
Proddatur,14.7502,78.548129,Andhra Pradesh,India
Rajahmundry,17.005171,81.777839,Andhra Pradesh,India
Tirupati,13.635505,79.419888,Andhra Pradesh,India
Vishakhapatnam,17.704052,83.297663,Andhra Pradesh,India
Vizianagaram,18.11329,83.397743,Andhra Pradesh,India
Itanagar,27.102349,93.692047,Arunachal Pradesh,India
Dibrugarh,27.479888,94.90837,Assam,India
Dispur,26.135638,91.800688,Assam,India
Guwahati,26.176076,91.762932,Assam,India
Jorhat,26.757509,94.203055,Assam,India
Silchar,24.827327,92.797868,Assam,India
Tezpur,26.633333,92.8,Assam,India
Aurangabad,24.752037,84.374202,Bihar,India
Bhagalpur,25.244462,86.971832,Bihar,India
Gaya,24.796858,85.003852,Bihar,India
Muzaffarpur,26.122593,85.390553,Bihar,India
Patna,25.615379,85.101027,Bihar,India
Purnea,25.776703,87.473655,Bihar,India
Chandigarh ,30.736292,76.788398,Chandigarh,India
Bhilai,21.209188,81.428497,Chhattisgarh,India
Bilaspur,22.080046,82.155431,Chhattisgarh,India
Raipur,21.233333,81.633333,Chhattisgarh,India
Silvassa,20.273855,72.996728,Dadra and Nagar Haveli,India
Daman,20.414315,72.83236,Daman and Diu,India
Diu,20.715115,70.987952,Daman and Diu,India
Delhi,28.651952,77.231495,Delhi,India
New Delhi,28.6,77.2,Delhi,India
Panaji,15.498289,73.824541,Goa,India
Ahmedabad,23.025793,72.587265,Gujarat,India
Bhavnagar,21.774455,72.152496,Gujarat,India
Bhuj,23.253972,69.669281,Gujarat,India
Ghandinagar,23.216667,72.683333,Gujarat,India
Navsari,20.85,72.916667,Gujarat,India
Porbandar,21.641346,69.600868,Gujarat,India
Rajkot,22.291606,70.793217,Gujarat,India
Surat,21.195944,72.830232,Gujarat,India
Vadodara,22.299405,73.208119,Gujarat,India
Ambala,30.360993,76.797819,Haryana,India
Bhiwani,28.793044,76.13968,Haryana,India
Faridabad,28.411236,77.313162,Haryana,India
